product_id,name,description,price,category,stock_count,is_available,created_at
P013,PCデスク用エルゴノミクスチェア,長時間の作業でも疲れにくい、人間工学に基づいたオフィスチェア。,55000.00,家具,8,TRUE,2025/09/25 13:00:00
P014,最新型ゲーミングキーボード,メカニカルスイッチ採用で、正確かつ高速な入力が可能。,19800.00,PC周辺機器,30,TRUE,2025/11/05 09:30:00
P015,純綿バスタオル3枚セット,吸水性に優れ、肌触りの良い大判の純綿タオル。,4500.00,生活雑貨,120,TRUE,2025/08/20 16:50:00
P016,超音波アロマディフューザー,静かな動作でリラックス空間を演出するディフューザー。,3980.00,生活家電,65,TRUE,2025/10/02 11:00:00
P017,オールインワンジェルクリーム,化粧水・乳液・美容液が一つになった保湿クリーム。,5200.00,美容・コスメ,90,TRUE,2025/11/03 14:30:00
P018,子供用自転車（16インチ）,補助輪付きで練習に最適なカラフルな子供用自転車。,14800.00,スポーツ・アウトドア,20,TRUE,2025/09/10 16:00:00
P019,ステンレス製真空タンブラー,保温・保冷効果が高く、デスクワークに最適なタンブラー。,2500.00,キッチン用品,180,TRUE,2025/10/28 10:00:00
P020,ハイキング用バックパック（30L）,軽量で大容量、通気性に優れたトレッキング用リュック。,11000.00,スポーツ・アウトドア,40,TRUE,2025/09/05 07:30:00
P021,ワイヤレス充電パッド,スマートフォンを置くだけで充電できる便利な充電器。,2990.00,PC周辺機器,110,TRUE,2025/11/04 15:00:00
P022,デジタル一眼レフカメラ入門セット,初心者でも簡単にプロ並みの写真が撮れるカメラキット。,78000.00,ガジェット,15,TRUE,2025/08/01 19:00:00
P023,高級オーガニック紅茶セット,世界各地のオーガニック茶葉を詰め合わせたギフトセット。,4800.00,食品,75,TRUE,2025/10/15 09:00:00
P024,綿100%パジャマ（メンズ）,肌触りが良く吸湿性に優れた快適なルームウェア。,5500.00,アパレル,95,TRUE,2025/09/28 21:00:00
P025,モバイルバッテリー（10000mAh）,スマートフォンを約2回満充電可能な大容量バッテリー。,3500.00,PC周辺機器,130,TRUE,2025/11/02 13:30:00
P026,折りたたみ式キャンプチェア,コンパクトに収納でき、アウトドアでの使用に最適。,4200.00,スポーツ・アウトドア,60,TRUE,2025/08/10 11:00:00
P027,高性能CPUクーラー,PCの熱暴走を防ぐための強力な冷却ファン。,8990.00,PC周辺機器,25,TRUE,2025/10/20 17:00:00
P028,遮光カーテン2枚組（幅100cm）,太陽光をしっかり遮断し、寝室での利用に最適。,6500.00,家具,40,TRUE,2025/09/18 14:45:00
P029,UVカット日焼け止めクリーム,顔・体用のウォータープルーフタイプの日焼け止め。,2100.00,美容・コスメ,200,TRUE,2025/07/25 12:00:00
P030,ランニングシューズ（ユニセックス）,軽量でクッション性に優れたトレーニングシューズ。,9800.00,アパレル,150,TRUE,2025/10/03 08:30:00
P031,セラミックヒーター,すぐに暖まる速暖性の高い小型暖房器具。,7800.00,生活家電,35,TRUE,2025/11/05 07:00:00
P032,本革製トートバッグ,A4サイズも収納可能なビジネスシーンにも使えるトートバッグ。,16500.00,ファッション小物,20,TRUE,2025/09/12 10:30:00
P033,ペット用自動給餌器,設定した時間に自動で餌を与える便利な給餌機。,6200.00,ペット用品,50,TRUE,2025/10/22 16:00:00
P034,ホットサンドメーカー,手軽に美味しいホットサンドが作れる調理家電。,4980.00,キッチン用品,70,TRUE,2025/11/01 09:00:00
P035,デスクライト（LED調光式）,目に優しい光で、読書や勉強に最適なLEDライト。,3800.00,生活家電,100,TRUE,2025/08/28 13:00:00
P036,カシミヤ混マフラー,肌触りが良く、保温性に優れた上質な冬用マフラー。,7200.00,ファッション小物,40,TRUE,2025/10/26 18:30:00
P037,ヨガマット（厚さ10mm）,クッション性が高く、自宅でのヨガやストレッチに最適。,2800.00,スポーツ・アウトドア,120,TRUE,2025/09/08 17:00:00
P038,大容量冷凍庫（100L）,食材の大量保存に便利な小型の冷凍ストッカー。,35000.00,生活家電,10,TRUE,2025/08/05 20:00:00
P039,ポータブルSSD（1TB）,高速データ転送が可能な外付けソリッドステートドライブ。,13500.00,PC周辺機器,60,TRUE,2025/11/04 10:00:00
P040,ハーブティーセット（デトックス）,リラックス効果のあるブレンドハーブティーの詰め合わせ。,2400.00,食品,85,TRUE,2025/10/11 11:45:00
P041,遮音性耳栓,睡眠時や集中したい時に役立つ高遮音性耳栓。,1500.00,生活雑貨,250,TRUE,2025/09/22 09:30:00
P042,電動歯ブラシ（音波振動式）,歯周病ケアにも適した高性能な電動歯ブラシ。,9500.00,美容・コスメ,30,TRUE,2025/11/02 18:00:00
P043,折りたたみ式踏み台,高い場所の作業に便利な軽量で丈夫な踏み台。,1800.00,生活雑貨,150,TRUE,2025/07/15 15:30:00
P044,アームレスト付きオフィスチェア,長時間のPC作業をサポートする高機能チェア。,32000.00,家具,18,TRUE,2025/10/07 14:00:00
P045,ワッフルメーカー,おやつ作りに便利な簡単操作のワッフルメーカー。,5100.00,キッチン用品,50,TRUE,2025/09/30 16:30:00
P046,軽量ダウンジャケット（レディース）,秋口から真冬まで使える薄手で暖かいダウンジャケット。,8900.00,アパレル,70,TRUE,2025/10/29 17:00:00
P047,ドッグフード（成犬用10kg）,栄養バランスに優れたプレミアムドッグフード。,5800.00,ペット用品,45,TRUE,2025/08/18 09:45:00
P048,4Kアクションカメラ,水中撮影やスポーツにも使えるタフな小型カメラ。,32000.00,ガジェット,25,TRUE,2025/11/01 13:00:00
P049,Bluetoothイヤホン（完全ワイヤレス）,接続安定性が高く、コンパクトな完全ワイヤレスイヤホン。,7980.00,オーディオ,90,TRUE,2025/10/06 12:30:00
P050,高圧洗浄機,車の洗車や外壁の掃除に役立つ強力な高圧洗浄機。,16000.00,生活家電,15,TRUE,2025/09/24 18:45:00
P051,遮熱テーブルクロス,熱に強く、ダイニングテーブルを保護するテーブルクロス。,2200.00,生活雑貨,100,TRUE,2025/10/04 08:00:00
P052,PCモニターアーム（デュアル対応）,2台のモニターを自由に配置できるモニターアーム。,9990.00,PC周辺機器,40,TRUE,2025/11/03 20:00:00
P053,保湿成分配合シャンプー＆コンディショナーセット,乾燥した髪に潤いを与えるヘアケアセット。,4500.00,美容・コスメ,80,TRUE,2025/09/16 11:30:00
P054,本格コーヒーミル（手動式）,豆の挽き具合を細かく調整できる手動式のコーヒーミル。,6800.00,キッチン用品,30,TRUE,2025/10/24 15:00:00
P055,メンズレザースニーカー,カジュアルにもきれいめにも合わせやすい本革スニーカー。,13000.00,アパレル,50,TRUE,2025/08/30 10:00:00
P056,アウトドア用ガスバーナー,コンパクトで高火力な携帯用ガスバーナー。,5500.00,スポーツ・アウトドア,75,TRUE,2025/09/14 13:45:00
P057,スマートスピーカー（AI搭載）,音声操作で音楽再生や情報検索が可能なスピーカー。,11000.00,ガジェット,22,TRUE,2025/11/05 06:30:00
P058,低反発マットレス（シングル）,体圧を分散し快適な睡眠をサポートするマットレス。,29800.00,家具,10,TRUE,2025/08/25 17:30:00
P059,高性能Wi-Fiルーター（次世代規格対応）,高速で安定したインターネット接続を提供するルーター。,14500.00,PC周辺機器,35,TRUE,2025/10/31 19:00:00
P060,和風だしパック（無添加）,厳選素材を使用した化学調味料無添加のだしパック。,980.00,食品,250,TRUE,2025/07/20 09:10:00
P061,マイクロファイバーモップ,水拭き・乾拭き両用で、床掃除が楽になるモップ。,1500.00,生活雑貨,180,TRUE,2025/08/03 14:00:00
P062,美容液マスク（50枚入り）,毎日のスキンケアに使える大容量のシートマスク。,3900.00,美容・コスメ,110,TRUE,2025/10/19 12:45:00
P063,小型ポータブル電源,災害時やアウトドアに便利な大容量バッテリー。,22000.00,生活家電,28,TRUE,2025/09/02 16:30:00
P064,おしゃれな壁掛け時計,シンプルでモダンなデザインの静音仕様の時計。,4800.00,生活雑貨,55,TRUE,2025/11/02 10:00:00
P065,本革ブリーフケース,ビジネスに必要な機能を備えた高級感のあるレザーバッグ。,25000.00,ファッション小物,15,TRUE,2025/09/29 11:00:00
P066,キャットタワー（据え置き型）,猫が遊び・休める多機能な据え置き型タワー。,12000.00,ペット用品,10,TRUE,2025/10/09 13:00:00
P067,IH対応フライパンセット,焦げ付きにくく耐久性の高い調理器具セット。,7500.00,キッチン用品,40,TRUE,2025/10/27 15:30:00
P068,レディースレインコート,雨の日も安心な防水性とデザイン性を兼ね備えたコート。,6800.00,アパレル,80,TRUE,2025/09/07 09:00:00
P069,ファミリーテント（4人用）,設営が簡単で広い居住空間を持つキャンプ用テント。,38000.00,スポーツ・アウトドア,5,TRUE,2025/08/22 18:00:00
P070,ゲーミングマウスパッド（大型）,滑り止め加工がされた大型のマウスパッド。,1500.00,PC周辺機器,190,TRUE,2025/11/01 10:30:00
P071,ミラーレスカメラ用交換レンズ,ポートレート撮影に適した明るい単焦点レンズ。,49000.00,ガジェット,12,TRUE,2025/10/08 17:45:00
P072,無農薬玄米（5kg）,農薬・化学肥料不使用の安心安全な玄米。,3800.00,食品,110,TRUE,2025/09/27 12:00:00
P073,珪藻土バスマット,高い吸水力ですぐに乾く人気のバスマット。,1980.00,生活雑貨,220,TRUE,2025/08/07 10:00:00
P074,超音波加湿器（大容量）,乾燥対策に最適な大容量タンクの加湿器。,5600.00,生活家電,50,TRUE,2025/11/04 14:30:00
P075,メンズ腕時計（クロノグラフ）,ビジネスにもカジュアルにも合うスポーティな腕時計。,14000.00,ファッション小物,30,TRUE,2025/10/21 16:00:00
P076,ストレッチジーンズ（スリムフィット）,動きやすく快適な履き心地のデニムパンツ。,6900.00,アパレル,100,TRUE,2025/09/19 15:00:00
P077,猫用おもちゃセット,猫の運動不足解消に役立つバラエティ豊かなおもちゃのセット。,980.00,ペット用品,200,TRUE,2025/11/03 08:30:00
P078,ワイングラスペアセット,特別な日に使いたい、薄くて軽い高級感のあるグラス。,3500.00,キッチン用品,60,TRUE,2025/10/23 11:00:00
P079,トレーニングチューブ（5本セット）,自宅で全身を鍛えられる強度の異なるチューブセット。,1800.00,スポーツ・アウトドア,130,TRUE,2025/08/13 19:30:00
P080,ポータブルプロジェクター,映画鑑賞やプレゼンに使える小型の高性能プロジェクター。,28000.00,ガジェット,20,TRUE,2025/11/02 16:45:00
P081,ゲーミングヘッドセット（マイク付き）,クリアな音声と臨場感あふれるサウンドのヘッドセット。,5980.00,PC周辺機器,80,TRUE,2025/10/17 09:00:00
P082,アイロン台（高さ調節可能）,立ったままでも座っても使える調節機能付きアイロン台。,2900.00,生活雑貨,90,TRUE,2025/09/26 13:00:00
P083,ハンドクリーム（高保湿）,乾燥が気になる季節に最適な、しっとりタイプのハンドクリーム。,1200.00,美容・コスメ,150,TRUE,2025/11/04 09:15:00
P084,折りたたみベッド（シングル）,来客用や一時的な使用に便利な折りたたみ式ベッド。,19800.00,家具,15,TRUE,2025/09/04 10:45:00
P085,電動ケトル（温度調節機能付き）,お茶の種類に合わせて温度設定ができる高機能ケトル。,6500.00,生活家電,45,TRUE,2025/10/30 14:00:00
P086,スマホショルダーストラップ,ハンズフリーでスマホを持ち運べる便利なストラップ。,800.00,ファッション小物,250,TRUE,2025/11/01 15:30:00
P087,レディースカーディガン（ウール混）,オフィスでの冷房対策にも使える薄手のカーディガン。,4900.00,アパレル,70,TRUE,2025/10/12 17:00:00
P088,猫用自動トイレ,排泄物を自動で処理する衛生的な猫用トイレ。,42000.00,ペット用品,5,TRUE,2025/08/27 21:30:00
P089,セラミック包丁3点セット,サビにくく切れ味の持続性が高い包丁セット。,8500.00,キッチン用品,35,TRUE,2025/10/05 08:00:00
P090,プロテインパウダー（チョコレート味）,トレーニング後の栄養補給に最適なプロテイン。,4200.00,食品,60,TRUE,2025/09/17 19:00:00
P091,自転車用ヘルメット（大人用）,軽量で通気性に優れたサイクリング用ヘルメット。,6800.00,スポーツ・アウトドア,25,TRUE,2025/10/14 10:30:00
P092,ワイヤレスキーボード（薄型）,持ち運びにも便利なスタイリッシュなデザインのキーボード。,4500.00,PC周辺機器,85,TRUE,2025/11/03 13:00:00
P093,デジタルフォトフレーム,思い出の写真をスライドショーで楽しめるフォトフレーム。,7500.00,ガジェット,30,TRUE,2025/09/23 15:45:00
P094,竹製ランドリーバスケット,通気性が良く、おしゃれなデザインの洗濯物入れ。,3100.00,生活雑貨,40,TRUE,2025/08/11 16:00:00
P095,薬用ニキビケア化粧水,ニキビを防ぎ、肌を整える薬用化粧水。,2500.00,美容・コスメ,90,TRUE,2025/10/20 12:00:00
P096,サイドテーブル（木製）,ソファの横に置くのに便利な小型の木製テーブル。,5500.00,家具,22,TRUE,2025/09/06 14:30:00
P097,ロボット掃除機（水拭き機能付き）,自動で床を掃除・水拭きしてくれる高性能掃除機。,49800.00,生活家電,18,TRUE,2025/11/04 11:30:00
P098,本革ベルト（メンズ）,ビジネスにもカジュアルにも使えるシンプルなレザーベルト。,3900.00,ファッション小物,65,TRUE,2025/09/21 17:00:00
P099,スマートLEDシーリングライト,スマートフォンで調光・調色可能な高機能シーリングライト。,12800.00,生活家電,60,TRUE,2025/11/01 19:30:00
P100,本格派コーヒー豆（ブラジル産）,深いコクと程よい苦味が特徴の高品質なブラジル産コーヒー豆。,1500.00,食品,95,TRUE,2025/10/28 07:00:00
